playername,role
ancient-silent,mage	
tiger,healer
ravencosmic,assassin
stealth.golden,"	warrior
"
bravecrimson,mage
furiousfrozen4  ,tank
furious86,"
assassin"
mystic21,mage
"
dragon5	",archer
goldensilent5,warrior
falcon-neon7,assassin
STorm8,warrior
silvergolden,mage
golem_silver, mage	
ravenknight6,healer
	tIgEr-FUrIOuS  ,tank
shadow,tank
tiger,healer
"
crimson0
",warrior
electriclucky,tank  
FuriouS.GHosT9,assassin
rapid7!!,warrior
frozen8,mage
frozenelectric,mage
  storm,mage
furiousneon,tank
silent.lucky3,healer
rapid,"   warrior
"
spirit9,tank
 frozen88   ,"
ArcHER "
frozenarrow,"
tank   "
spirit,mage
ghost,tank
iron6,warrior   
bravetiger,warrior
ghost,tank
braveiron,WarRior
   mysticarrow	,"
mage  "
IroNBRAVe5, mage  
  crimsonblade,warrior
stealth,archer
  storm3,mage
wizard9,"assassin
"
silent0,archer 
rapid,mage
neon.wild658,healer
ancient651   ,ARcheR	
  falcon  ,healer
ghost8,archer
  golden3  ,assassin
cosmic,warrior  
wardenstealth7,mage
crimson-stealt,mage
iron,"
tank"
rapid-tiger3,assassin
dragon1,assassin
storm_mystic71,archer
RAPidGHost2,tank
neon-dark0,assassin
"
stealth8		",assassin
stealth,warrior
nInJA,assassin
electric6,archer
	arcane.golem4 ,tank
 electricneon ,wARrIOR
tiger_silent6   , warrior  
  viper56 ,warrior
rapid,warrior
reaper3,healer
wizard.rapid,warrior
  electricmystic  ,  tank  
	neon.arrow3,healer
phoenixancient,tank
knightwarden,mage
brave ##,mage
rapid,healer
   luckymystic   ,tank
crimson,  archer   
 neonarcane2	,tank
warden,archer
"
mysticfurious9",archer
bRAVeELECtRIc,assassin
MYsTicgOLden0,ARCHEr
bladelucky4,WaRRioR
furious0,assassin
furious3 ##,tank
lucky,tank
neon68, ASsasSIn   
silver,warrior
lucky0,warrior
ravenstealth6,healer 
arcane6,assassin
lucky,"  tank
"
brave33,"
archer	"
ancientwizard0,tank
phoenixwarden,ArCHER
"  phoenix
",warrior
	rapidelectric0 ,archer 
hunter3,mage
shadow,archer
arcane,healer
"   ghostdragon84
",warrior
wild,archer
ninja,  tank   
  rapid1,warrior
bladegolden67,tank
darkdark4,   tank   
"	GOlEM7
",assassin
golem,MagE
dragon1,ASSaSsIn
falcon_golden,mage  
ninjafurious9 ##,archer
samurai,tank
steaLth8,archer
	neon-golden ,warrior
hunter,mage
phoenixlucky,healer
mystic,tank
viper,mage
wolfancient,healer
mystic,heaLEr
rapid4,archer
shadow5,warrior
blade-ancient5,mAgE
iron5,mage
samurai,archer
   ravenfrozen288  ,  archer  
wolfviper9,mage
tiger0, taNK  !!
samuraiwolf,warrior
shadow4,healer
arcane1,assassin
warden.rapid ##,archer
  shAdOwkNight,tank
phoenix8,archer
electric3,archer
wardenrapid16,mage
DrAgon66,MaGE
ninjarapid2,mage
silent_tiger,warrior
viper52	,assassin
silver-golem34,assassin
phoenix-brave3,tank	
cosmic,assassin
shadow33  ,healer
shadow.lucky,aSsasSiN
brave,warrior
cosmic-crimson,archer
neon,assassin
lucky8,healer
mystic.wild9,warrior
ninja4,healer
ravenraven46	,archer
arrowcosmic, assassin	
rapidfurious98 ##,mage
hunterfurious,mage
phoenixreaper8,tank
phoenix9,warrior
tiger,assassin
mystic-samurai,tank
spiritiron0,tank
mystic7,assassin
SHAdOW-STOrm,tank
ghost9,healer
   neon   ,mage
luckyshadow,mage
arcane,assassin
stealthgolem5,   tank
reapercosmic,warrior
neon, warrior   
wild,healer
wild_spirit,warrior
lucky,warrior
mystic7,warrior  
DragoNghoST, warrior	
cosmic,mage 
"
shadow9 ",tank!!
electric8,healer
WizaRd,   archer 
huntersamurai6,  archer	
stormhunter0 ,assassin   
ghostarrow8,tank
fAlcoNmySTIc,assassin
crimson,warrior
crimson,"tank
"
wizard0,tank
electric,warrior
   goldenhunter2	,  healer
arrowiron73,tank
ghost.arcane,mage!!
spirit581,warrior
cosmicfalcon,tank
"
luckyknight8	 ",healer
dark_storm,tank
Wizard,assassin
froZENTIgEr,tank
frozen,assassin
hunter,  tank  
"  electric96
",archer
cosmicrapid88,archer
mystic,tank
BRavE2,assassin
raven9,healer
BLAdECoSmIC,tank
aNcIenT_siLveR,warrior
bladeneon  ,assassinäöü
blade35,   archer 
reaper,mage
silentrapid,mage
wolfknight,tank
rapidrapid1,assassin
golem_stealth,archer
cosmic,archer
"
rapidknight7
",   assassin
wardenknight,assassin
phoenix7,tank
lucky154 ,mage
neon,   tank	
ghost,mage
furious0,mAGE
silent.wolf4,HeaLer
samurai-electr,warrior
WIlDRavEN,tank
fUriOusfURIOus!!,  mage
furious5,ArchER
arrowsilver,archer
wolf.ninja,tank
shadow,warrior
rapid5,   assassin
neongolden5,warrior	
ravengolem1,archer
kNIgHT,mage
 furiousgolem1,archer
viperreaper533,archer
ancient,tank
furious_golden,tank
golden,healer
lucky30,assassinäöü
frozenrapid3,mage
ghost_storm,assassin
ninja3,warrior
crimsonninja,assassin
arrowelectric,assassin
arcane-golden7,mage 
cosmic,mage
shadowdragon,archer
goldenghost,archer
falcon9,TaNk
silent3,assassin
frozen4,archer
frozen_falcon1,warrior
wizard,warrior!!
wild,archeräöü
mysticiron,assassin 
lucky," mage
"
   tiger.ancient0,healer
phoenix,assassin
viperreaper4,tank
falcon,tank
wizard3,assassin
	wolf9	,assassin
  silent ,healer
silent,warrior 
electricelectr,"
ASsASSIn  "
frozen,	archer 
golden6,tank
ghost,healer	
shadow,healer
cosmicrapid	,archer
falcon,healer
neonfurious5,MAGE
"
dragon ",warrior
samurai8,archer
frozen,	mage ##
wizard,	warrior  
stormstealth	,assassin
crimson5,tank
mysticiron7,archer
silver-wizard4,ArchEr
lucky-golden5,tank
rapid8,archer
cRImSoN3,tank
mystic,tank
  wizard ,archer
furiouscosmic,tank
   spiritwolf	,mage
luckyiron68,mage
wizard12,healer
BlADEKnIGht,tank
stealthninja24,mage
MYsTIcHUnteR35,tank
   reaperelectric	,"tank
 "
cosmic.electri,archer
shadow-cosmic,warrior
luckyshadow,  mage
shadowsamurai9,archeräöü
knight331,healer
neon,healer
cosmic,   healer 
samurai6,archer
wild_arcane0,archer
crimson,tank
ancieNTarrow3,   healer	
silver,   warrior 
wizard9,mage
neon,warrior
rapidelectric,warrior
golem.warden ,healer
neonrapid4,archer
neon_wild,archer
"
furious9
",	healer	
arcane2,MAgE
frOzEN_sTEaLTH,warrior
shadow,tank
ancient,mage
crimson7,tank
blade,mage
reapercrimson2,warrior
phoenixblade,mage
wizardwarden,archer
cosmic.samurai,"   assassin
"
wild503,warrior
shadow_wild0,tank
dark3,assassin
mysticsilver1,assassin
dark5,tank
" ghostgolden296
",HEalEr
"
blade ",	mage 
golden0,mage	
stealthfrozen,warrior
golem89 ,assassin
spiritlucky77,healer
neonbrave43,archer
spirit,healer
falcon_arcane6,warrior
electric-brave,healer
golden,warrior
iron,assassin
wolf_dark9,healer
iron792	,"
warrior
"
furiousneon44,healer
spirit-storm,   assassin 
"
ninja-iron2 ",assassin
frozen,   warrior 
dark,aSSaSSiN
rapid91,warrior
silver-frozen6,archer
stealth,	assassin   
frozen2,WaRRIoR
golden,tank
wolffurious,assassin
golem,assassin
wolf,healer
stealthfrozen2	,warrior 
silentbrave88,healer
cosmic,WArRiOR  
golemsamurai2	,  archer
mystic.arcane,  tank  
"
raventiger1	",archer
brave-raven,assassin
golem-wild,healer
silent,healer
storm3,archer
stealth-ghost7,healer
rapid5,archer
stealthdragon,healer
" ancient-stealt
",assassin	
arrow_frozen,archer
wild,warrior
falconmystic,assassin
mysticsilent7 ##,arCHEr
goldenraven3,warrior
reaper9,HEALER
rapid,archer
neon6,mage
crimsonninja,healer
electric,healer
raven,healer
hunterwizard,archer
crimson7,assassin
   arrow,tank
ninja983,archer
raven_wizard	,	archer	
furious9,	mage
mystic2,healer
arcane,archer
	shadow6 ,healer
silent9  ,archer
arrowmystic9	,assassin
 phoenixwolf5	,archer
	wolfdragon30   ,mage
neon, mage 
NInJacRIMSon7,warrior
warden-frozen1,wARRIOr
shadowreaper,mage
dark,warrior 
spirithunter4,archer
vIPERSpirIt,assassin
stoRM8,archer
knightgolem,warrior
furious,archer
samurai,tank
raPidReApEr49,	mage 
warden4, healer   
ninjareaper7,tank
  arrowsilent1 ,warrior
dragonphoenix8,assassin
rapid,tank
golem,  assassin  
golden,healer
neon,healer
wizard.golden,tank
"rapidancient0
","tank
"
"
sTeaLTHiROn ",healer
braveneon,  healer   
   ancientiron2 ,warrior
wild,assassin
crimson32,healer
   spiritiron1  ,mage
ghost-neon4,tANK
neon,tank
"
ancient   ",healer
arcane-arrow80,aRCher
storm,mage
storm5,mage
electric-warde,tank
phoenix,warrior
brave_samurai4,archer
furiousrapid25,healer
luckyviper,assassin
neonancient,tank
knight,warrior
crimson49,mage
 stormwolf   ,tank
wolfrapid,tANK
ghost0,mage
lucky-mysticäöü,mage
ancient,mage
phoenixarcane0,healer
stealth3,tank
cosmic2,archer
samurai,mage
ancient5,tank
viper,tank
spirit,archer
cosmicwizard8,	healer	
" silentiron
",archer
neon,healer
iron,tank
iron0,warrior
ghost,healer
   crimsonstealth   ,archer
"
ravenfurious25
"," healER
"
mysticarrow63,mage
silver.frozen,mage
crimsonwild,mage
reaper3,healer
arcane8, warrior	
ancient,tank
brave5,"tank
"
   wildelectric ,warrior
blade0,assassin
blade-iron,  healer   äöü
brave90,tank ##
shadowspirit,mage
ninjacosmic1,tank
lucky78!!,assassin ##
silverblade,archer
dragonwizard8,assassin
warden843,archer
ancient8, mage 
blade.ancient8,healer
"  wizard
",warrior
hunter9!!,	healer	
 electric9   ,"
warrior  "
cosmic1,warrior
	furiousancient   ,WARriOR
raven9,archer
silver_electri,tank
falcon,warrior
knight-cosmic2,tank
wild93,assassin
darkwild6,mage
 brave297  ,mage
shadow_storm,"  asSassIn
"
" wolf
",mage
samurai,mage
silentancient,wArRIOr
frOZenlUcKY,  assassin
frozenfurious1,"	tank
	"
wild7,  assassin
"  golden9
	",tank
electric2,"   archer
"
rapid898,healer
dark1,healer
BrAve-PHoEniX7,tank
SILvErCrIMson,aRcher
	ancientdark9	,healer
frozen,warrior
"
frozenfrozen5",healer
silver2,healer
"   wolf
",warrior
darkraven ,mage
neon0,tank
samurai0,"
assassin   "
wolfcosmic,   healer	
raven55,mage
frozen,"
tank"
rapidancient,archer
ancient_warden,mage!!
 ironneon47  ,assassin
	arrowhunter	, warrior
wiLD,archer
arcane_golden,mage
viper,tank
ancientdark,archer
electriccosmic,assassin
electricgolden,tank
stealthrapid32,assassin
stealth,mage
"   furiousghost8
",warrior
silentstorm,assassin
silver,assassin
ElecTRiCfrOZeN,healer
	bladestealth5	,warrior
mystic7,  archer
wild-golem,mage
mystic0,assassin
furioussamurai,warrior	
ancient,warrior
frozen22,"
mage  äöü"
rapidshadow,assassin
tiger_wild,healer
"
arcane8 ",mage
mysticgolem5,healer
 lucKyCOsmIc5   ,warrior 
wolf_rapid,archer
goldenninja,healer
Wolf,healer
VipEr,"
warrior
"
REAPERwaRDEN8, mage  
rEApEr,healer
" shadow0
",assassin
silver,mage
ninja80,assassin
ancientstealth,mage
frozen29,AsSAsSIN
spiritshadow3,tanK
wizard ##,	mage
crimson4,healer
mystic.phoenix,tank
ironrapid,archer
"	silvercrimson
äöü","
healer"
" silentarcane
",mage
lucky ##,warrior
spirit,mage
arrow,archer
wolf-phoenix,assassin
wizard,warrior 
frozenarcane2,warrior
rapid6,archer
knightancient6  ,mage
vipersilent7,warrior
rapid,tank
viper.raven1,warrior
golem.golden87,warrior
shadowbrave2,archer
arcane,WArrioR
golden-lucky,   healer	
golem5,AsSasSIn   
furious-silver,mage ##
   huntergolem	,"
tank  ##"
darkbrave3,tank
 crimson  ,mage
reaper84,warrior
goldenblade,tank
viper,warrior
samurai33,healeräöü
tiger,mage
ancient4äöü,healer
ancient,tank
dark_golden,healer
shadowarcane1,warrior
silent,HEalER!!
hunter!!,assassin
raven37,   warrior   
	reaper-shadow   ,assassin
silverwizard3,warrior
mystic3,tank  
ninja,archer
tIgernEOn,healer
dragon-silver8,wArrior
waRDeN-wiZard,mage
shadowdark0,assassin
furiousbrave98,tank
  wardenfurious0  ,assassin
reaperwild20,archer
silver_cosmic6,mage
wardeniron,warrIoR
IroNfuriOUs,	archer  
darkancient ,WARRIor
crimsonsilent8,assassin
crimsoniron6,warrior!!
  silent	,healer
rapid_arrow6,tank
DARK6,healer
arrow,archer
"
cosmic_furious  ",warrior
spirit,warrior
  cosmic,assassin
furiousfrozen,archer
dark,assassin
stealthghost7,assassin
furiousstorm4,mage  
arcane880,warrior
cosmic5,warrior
phoenixcosmic,warrior
ghost,"
tank	 "
dragonneon,warrior
" brave53
","
archer  "
knight,tank
ravenraven22	,healer
phoenixlucky,healer
wolfninja55,aSsaSsIn
rapid,warrior
stormwolf2,mage
knightviper,  mage 
ancientstealth,healer
golden,tank
"
silver  ",archer
eLeCtriCgOleM,healer
spiritbrave,warrior
falconsilent,archer
iron,mage
hunter20,healer
silent,archer
crimsonstealth,"
healer
"
 shadowelectric  ,tank
mystic.dark6,warrior
arrow-silent3,healer
goLDen8,mage
goldenwolf7,archer!!
silver,  mage   
storm8,mage
DRaGOncRiMson,tank
knightwild,mage
viper,assassin
knight,healer
knightblade, warrior 
frozenancient1,archer
"ghostarcane9
",archer
stealth,mage
darkbrave89,assassin
"
dragon1
 ",healer
lUcKY_furioUs,warrior
samurai0,healer
shadow-wild6,   warrior   
ninjastealth11,healer
"
reaper2",assassin
ancient_crimso,healer
	viper ,tank
wolf,warrior
"
ninja_reaper49",healer
GoLDen,mage
brave43,ASsASsIn
silver.samurai,assassin
rapid2,tank
silent2,healer
"
reaper819","
healer  "
BRaVE6,archer
samuraifrozen,assassin
knight,assassin
cosmic.knight,archer
crimsonelectri,tank
"	silent95
",hEalER
ancient,warrior
crimson,assassin
wizardshadow,archer
  silent0  ,assassin
silentninja5,assassin
arrowneon1,warrior	
hunteriron4,"  mage
"
frozenstealth,warrior
bravecosmic60,tank
furious6,warrior
GoLdeN,archer
silent1,mage
CrImsoN,assassin
dragon_samurai,assassin
aRrOWwOlF2,warrior
cosmicwild,   mage	
"
darkarrow0	","
healer   "
"
spirit5	",healer
  COSmIc.fRoZEn,archer
   knight4	,tank
spirit60,warrior
wildshadow,assassin
phoenix,archer
shadowfurious,warrior
tiger-crimson,assassin
neoN.SilVER,mage ##
crimsongolden7,tank
cosmic,   tank  	
drAGOn,warrior
silver,healer
mysticfurious,healer
crimsonarcane6,tank
storm1,"	archer
"
phoenix95,mage
silent,mage
lucky, TaNk  
  lucky ,warrior
spiritancient	,healer
warden4,assassin
arrow,warrior
"	iron.silent0
",warrior
   neon.neon	,healer
  crimson17 ,healer
tiger7,healer
stealthäöü,mage
 raven ,TanK
raven.viper,healer
frozenwizard,tank
stormstealth79,healer
arrowblade0,	tank  
frozen15,healer	
shadow,warrior
wild7,healer
	storm,warrior
dark.rapid779,tank
	wizard2,mage
silver,mage
eleCTRIc4,archer!!
	falcon.mystic   ,ARCHER
knight-frozen2,warrior
ARCANe,healer
arcanemystic9  ,healer
hunter0,tank
furious1,arcHer
ancient1,   archer
arrowwild4  ,assassin
lucky2 ##,warrior
rapidwild1,	archer
stealth,assassin
STEaLth9,mage
reaperrapid,healer
viperneon8,archer
LucKY,archer
rapid-rapid,mage
golem5,tank
rapid,"
warrior "
wild_silent6,warrior
wolf87,tank
wardengolden1,healer	
electric_mysti,tank
mysticdark66,assassin
golemwild,tank
frozen5,archer
stealthtiger,tank
"
ancient  ",healer
rapidwarden597,healer
shadow433,archer
viper,"
mage   "
iron,  healer	
ninjaäöü,	aRcHEr   
tiger-neon401,healer
raVEN, assassin  
golem3,mage
knight-lucky71,assassinäöü
cosmic31,"
healer   äöü"
mystic,	TANk  
	crimson	,"
archer	"
knightninja774,tank
"
iron  ",mage
reaper210,"   mage
"
darkfrozen2,tank
furious,mage
dragonwild8,   assassin
frozen33,healer
silver6 ,assassin
viper_stealth ,mage
darkbrave1,archer
rapid95,archer
tiger,   healer
raven69,tank
dark,tank
hunterreaper,mage
rapid-dark7,tanK
furious9,tank
ravenarcane5,warrior
	furiousviper ,	tank
wild,assassin
	golem55   ,assassin
warden-furious,warrior
ninja.wild5,archer
   ninja	,archer
silver1,warrior
ghost6,warrior
frozenblade4,tank
storm9,	assassin	
crimson,tank
blade2,mage
silver,healer
dragon324,"
warrior"
elECTricDRagON,healer
wolf9!!,mage
iron,warrior
spirit6,taNK
knight,assassin
darkcrimson9,mage
mysticfrozen5,tank
samurai-silver, healer 
furious,	healer  
dragonfrozen27,tank
arcane.stealth,assassin
knight5,healer
silver725 ,tank
   ElectrIC308 ,mage
spiritghost,tank
frozen,warrior
raven,"
mage	"
reaper,"   assassin
"
storm980,"  tank
"
ancientgolem7,assassin
"shadowsilver9
",mage
 falcon.golem5  ,healer
   WILdFaLcON	,assassin
dragon5,assassin
silent4,tank
myStIc_TIGEr,healer
stealthsilver,assassin
shadowcrimson2,   assassin
crimsonlucky,tank
darkelectric ##,	warrior 
arcanearrow2,assassin
cosmic-raven,assassin
neon,assassin
ANCIEnT,ASSaSsIn  
neon2,mage
WArdEN3,warrior
ninja14,healer
blade2,healer
iron,mage
ReapEr4,warrior	
stealth9!!,tank
silentfrozen,archer
shadow2,"
tank  "
reaper82,mage
golem,mage
bravecrimson,healer!!
"
golden-dark",warrior
braverapid6,tank
	golemelectric,healer
cosmic703,"
healer  "
dragon_blade,healer
golden37,tank
silver,  healer 
falconcrimson,	archer  
shadow	,assassin ##
falcon0,healer
viper_warden,healer
neon5,mage
storm9,archer
spirit,archer
wizard,assassin
falcon5,   assassin 
electricblade,warrior
furious5,healer
  faLCOnEleCtriC  ,archer
arrow,tank
	neon1	,assassin
storm	,archer
arcane3,healer
mystic_neon0,mage
blade396," tank
"
rapidghost8,tank 
reaper,warrior
spiritsilver2,mage
arrowtiger!!,assassin
crimsonphoenix,warrior 
 eLeCtRIc57 ,mage
dark,  healer   !!
samuraicrimson,healer
electric,mage
silentlucky1,   warrior  
silent8!!,   healer   
crimson8,archer
silversilent3,assassin
wolf5äöü,  mage  
silver,"
assassin"
FurIOUs3,assassin
lucky,tank
  electric  ,WARRIOr
cosmic_raven4," tank
"
frozen,archer
neon,tank	
 wild8   ,healer
  storm2	,assassin
silver5,"
archer    "
mystic-storm,tank
frozenwolf6,assassin
sTealtH,   warrior	
golden1,assassin
   crimsonwizard ,  assassin	
stealthstealth,assassin
bravecrimson," mage
"
huntertiger,healer
reaper-electri,waRrIoR
reaper214,mage ##
crimson94,assassin
crimsonelectri,tank
stormspirit,assassin
furioussamurai,"
archer   "
tigerknight,warrior 
wolf, tank	
darksilver,warrior
storm,mage
ironviper,tank
silent952,	mage
cosmicdark7,   healer	
"  wardenfrozen4
 ##",archer	
neon.electric,tank
wildäöü,	warrior   
ghost26,mage
hunter,healer
shadow,assassin
ancient,tank    
silvermystic,ARcheR
warden37,healer
	cosmicancient   ,mage
rapidghost ,archer
cosmic82,mage
iron_samurai6,assassin
warden,warrior
rapid,mage
aNCIENt,"
assassin    "
silent-blade1,healer
"   ancient
",	warrior	
wolf_rapid54,archer
aNcieNtninJA,archer	
blade	,healer
electricviper,mage
frozen1,tank
brave916,healer
knight6,tank!!
luckydragon,mage
arcane,warrior
arrow.ninja4,assassin
electric-crims,   mage  
silveräöü,healer
darksilent,assassin
ironarrow	,archer
   raven,tank
reaper,   assassin
storm-silent15,"
assassin "
brave,assassin
ancient61,healer
"
ghost
",mAgE  
saMuraI,assassin
samurai2,MAGe
shadowfurious7,tank
cosmic,assassin
shadow,   archer	
wARDEN,assassin
rapidmystic,assassin
"mystic8
",archer
frozen,healer
wolfshadow8,assassin
shadowwarden48,healer
cosmic,assassin
furious.golden,"archer
"
ninja,warrior
FroZEN75,"
tank"
shadow,assassin
brave5,warrior
lucky799,ASsASsIn
	mystic   , warrior	
KnIgHT8,tank 
crimsonelectri,archer
dragoncrimson4,  arcHER
shadow,warrior
wolf,healer
SpIrITsiLEnt18,healer
cosmic,tank
neon88,tank
wild-golden,healer
	rapid ,healer
arcane,warrior
silver6,healer
stealthknight0,wARRIoR
stealth0,assassin
	mystic1	,archer
spirit10,TANk
arrow.ghost,archer
" samurai-storm
",assassin	
hunter0!!,mage
frozen,  archer 
cosmicwild4,healer
lucky4,tank
rapid413,	archer äöü
frozen-storm,healer
ninja1,ArChER
"
stealth
",	mage 
 knighthunter   ,tank
 lucky90		,	tank
   samurai  ,healer
silent.knight,assassin
crimsontiger6,mage
crimsondragon, tank  
"rApId2
äöü",warrior
ShAdow.crIMSon,assassin  
storm, assassin		
crimsonneon94,tanK
ravencrimson,"
mage	"
	arcane888  ,warrior
blade,tAnK
wild8,warrior
"  cosmic3
",tank
FUrIOUs32	,archer
crimsonfurious,warrior
spirit,healer
storm56,tank
   stealth,tank
reaperfurious7,tank
golden88 ,mage
knight,"  HEALEr
"
phoenixfurious,warrior
iron,assassin
samuraigolden,healer
phoenix,assassin
crimson0,tank
brave0,healer 
luckyelectric7,warrior
 brave_samurai7,warrior
silvercosmic,archer
PHoeNix,healer
"
falconsilent","
hEaLeR   "
   stormiron34 ,tank
spirit26,mage
reaperghost,"   mage
"
arcane.wizard6,  archer	
wARdEn-MYsTic,assassin
blade2,HEaler
golden,assassin
wildknight,  tank  
raven,warrior
reaper70,"
tank   "
gOldEN-rAVen,	TAnK  
dark3,healer
"
neoncosmic
", warrior 
"  ghost37
",healer
stealth9,mage
blade,archer
brave95,"
mage	"
rapid.shadow66,tank
ancient1,tank
rapid.tiger39,healer
neon84,archer
dragon3, archer  
rapidstorm5,tank
stealth4,tank
viper43,assassin
electricancien,archer
"cosmic
","
warrior  "
wILd,assassin
cosmic42,warrior
furious,tank
arcanegolem9,healer ##
 furiousarrow84 ,tank
shadow,mage
wolf,healer
viper759,archer
arcane6, archer  
  fURIOUS77  ,ARchER
frozen7,archer
golem,assassin
rEapErELEcTric,tank
phoenixknight0,healer
rapid.golden,tank
phoenix5,assassin
shadow14,archer
arcane,assassin
neonfrozen	,archer
arcanetiger1,warrior
   reaper.RaPiD   ,  healer
frozenfurious,archer
lucky8,tank
GOLem,healer
neon7äöü,tank
silent8,mage
ancient-silent,"	tank
"
mysTIc9,mage ##
crimson359,   assassin  
frozenmystic,archer
spiritgolden,warrior
ancient,"
tank	"
neon6,"
assassin
"
electricsilent,warrior 
"
rapidneon980 ",assASSIn
   iron9  ,mage
"
shadow_silent6  ",tank 
	wild	,mage
   ShAdOw62 ,assassin
luckywizard,warrior
raven75,tank
ancient65,HeAleR
"	arrow
",   tank  
ARCanETIGEr,assassin
samurai ,tAnk
viper,	tank   
ninja,healer
	blade,tank
arcane,mage
storm,HeAlER
   KnIgHt  ,warrior
rapidfurious,warrior
shadow-knight7,archer
dragonstorm ##, warrior
arrowwarden,warrior
mystic23!!,tank
golem-dark,healer
phoenixelectri,healer
phoenix!!,mage
ancient0,tank
spiritelectric,"
archer
"
 knightshadow   ,mage
electricstealt,healer
tigerarrow5,warrior
silver.phoenix,warrior
FurIouS4,tank
blade,tank
	ghost_hunter,"
archer"
shadow36,assassin
shadow,archer
ghostcrimson,warrior
frozen,	healer
 wildknight35	,tank
nEOn31,healer
 arcanestorm2,arCHeR
golemmystic8,mage
samurai,"
tank	"
golden22, warrior  
  DaRk48  ,   archer
	falcon ,assassin
  stealth8   ,tank
silent91,assassin
crimsoncrimson,assassin
rapid2,warrior
rapid4,archer
phoenix,healer ##
wild386,  warrior	
"   viper
",healer
hunter,assassin
stealth,mage
silent,archer
rapidknight8,healer
stormstorm,mage
frozengolden,MAgE
crimson,  healer
knightwild7,mage
stealthviper,archer
rapidghost1,healer
brave5,warrior
ghost821,healer
silent-ninja5,warrior
warden2,mage
crimson,mage
spirithunter6,warrior	
silent,heaLER
brave,warrior	
cosmic ,warrior
mystic5,warrior
mystic2,"warrior
"
crimsonphoenix,   assassin   
SHaDoW,warrior
ghost87,mage
"
goldengolden5	",assassin
wIld577,tank
"
mysticwolf42   ",warrior
ghost92,	archer
viperneon,tank
stealth7   ,healer ##
iron-frozen,tank
mysticsilver,"
warrior	"
brave,   warrior	
brave,waRrIoR
