playername,role
reaper-dark,archer
ancientwild3,mage
furiousviper3	,assassin
SteaLTh38,archer
	wild   ,	hEaLEr 
 raven2 ,warrior
neonfurious,assassin
silent,archer
crimsonviper,tank
ninjamystic,tank
crimson804,"
assassin  "
luckyneon1,mage
iron.wizard,warrior
spiritfalcon,archer
 wildsilent1  	,healer
wild1,mage
samuraisilent3,warrior
spirit89,mage
rapidstorm6 ,mage
ancientbrave,archer
furious,hEalER
"
furious.iron  ",archer
electricarrow3,assassin
falcon  ,warrior
SAMurAI290,tANk	
silent3	,healer
   brave.brave  ,warrior
	stormfalcon995  ,tank
ravendragon8,  assassin
	silentstealth ,   assassin	
shadowsamurai7,warrior
dark69,mage
	arcane   ,archer
mystic,"	archer
"
shadow.ancient,tank
   crimson-warden	,archer
warden  ,tank
	wildrapid  ,"
mage	"
stealth4,  archer
ghost,assassin
dragon-dragon8,mage
raven,mage
   mysticwild2   ,  archer  
shadowfalcon,assassin
"
brave5  ",healer
ghostviper9 ,warrior  
silent251,healer
"
lucky39  ","
warrior	 ##"
dark576,tank
raven.brave,assassin
warden,tank
luckystorm234,mage
falcon,assassin
neondragon9,  tank   
frozen173	,mage
mysticneon,mage
	silent,tank
phoenixbrave,healer 
wizard!!,healer
silverlucky0,tank
tigergolden7,warrior
knight-neon,Healer
samuraiiron2," tAnK
"
	viper.dragon2   ,assassin
samuraiancient,assassin
frozenstealth3,mage
furious,healer
ancient8,mage
reaper-reaper0,tank
spirit.frozen,mage
  electric_elect ,tank
frozen9,wArRiOR
warden,tank	
electric14,tank
"   raven
",  warrior	
wolf,mage
"
dark7  ",assassin
viperlucky4,assassin
dark,mage
arcane,mage
arcaneblade,MaGe
BraVEMysTIC15,"	healer
"
silentarcane3,"
warrior"
 wild3  ,healer
wardengolden1,warrior
ghostwizard2,assassin
crimson,assassin
stealth,tank
spirit6,tank
cosmicmystic1	, tank	
pHoEnIX.raVen4,mage
samurai_brave2,healer
ancientwolf,"
tank	"
BLadeDark,tank
lucky,assassin
hunterdragon,assassin
shaDOW," healer
"
electric.dark4,assassin
frozencrimson,assassin
phoenix,warrior
silent5,assassin
wolf,healer
   lucky   ,archer
arcane, archer   
stormrapid,assassin
silverdark,"
assassin	"
luckyhunteräöü,archer
 raven2 ,mage
silent,ArCHEr
iron,warrior
golden6,healer
bRaVeRaveN7,warrior
"
furious
",warrior
golden_mystic ##,assassin
ghost,mage
rapidsilver,   assassin  
"
bravearcane  ",warrior
  knightbrave929,tank
samuraicosmic,tank  
darkhunter7äöü,tank
silver74,warrior
dark-mystic	, tank	
arrow.arcane8,tank
brave,mage
blade4,archer
wizardshadow,tank  
silenthunter54,warrior
ancient,tank  
wolfphoenix5,warrior
wolf,assassin
wolf0,tank
mystic,tank
neonwizard,assassin
tiger,healer
wizardancient6,healer
viper77,archer
golden,healeräöü
mystic.silent,   healer   
reaper98,tank
samuraihunter,healer 
ravenghost,warrior
shadow,healer
viper_hunter60,assAsSiN
 samurai ,warrior
" DrAgON
",tank
spiritfrozen8,  warrior 
bravefalcon9,assassin
crimsonmystic0,mage
ancient2,archer
falcon752, tank   
dragon.neon9,tank
arcaneiron,archer
silent3,assassin  
bladefrozen,MaGE
"
brave-dark52   ",tank
huntersilver56,archer
ancient,archer
golden.dragon,assassinäöü
  brave9 ,archER
arrow,   assassin	
arcanearrow,healer
warden,mage
ironwild,healer
viperancient60,archer
falcon5,archer
dragonmystic,tank
golemneon,  healer	
dark-iron7,assassin	
tiger,mage
dark865,mage
wild8,tank
shadow362,archer
blade_mystic,archer
dragon6,aRchER
electricwolf2,healer
"
rapid66
!!",tank
bladebrave,mage
knight-neon,tank
falcongolem,mage	
warden7,tank
frozen803,tank
iron873,warrior
ravensilver,"
mage "
 wild3,assassin
sPiRIt3,tank
arcanebrave20,archer
furious5,archer
"
blade81",tank
wardenreaper67,	tank ##
 storm  ,   warrior   
falcon	,warrior  
rapid,assassin!!
crimsonfrozen,mage
frozenwarden59,"  mage
"
cosmic  ,archer
falconneon,assassin
ancient-lucky3,tank
  tigerwild   ,tank
SteAlTh46,   tank  
bravefalcon,archer
ironfurious ,tank
rapid-silent5,mAGe
  storm1 ,healer
	neon	,healer
shadowdark5,archer
knight,assassin
bRavE2,warrior
dragon2,warrior
mystic7,tank
"
spiritblade8   ##",archer
hunter97,archer
sPiriTfalCoN3,assassin
wIzaRd76,healer
crimson7,   assassin  
crimsonblade,assassin
irontiger,archer
   iron   ,tank
spiritcrimson,assassin
warden_dark,	assassin
raven,tank
crimsondragon0,tank
knightgolden,assassin
frozendragon ##,"
archer   "
silverninja,warrior
silver-reaper ,   tank
storm,mage
shadow,warrior
stealth,warrioräöü
"
iron3 ",warrior
   WArdenFrOzen9 ,mage
  iroNsilENt,archer
"
wolf_neon5   ",archer
dragonfurious,	archer 
ninja-shadow,archer	
dragon-rapid,healer
 dark   ,healer
silverbrave3,archer
ghost-ghost63,warrior
viper78,assassin
   blade.shadow2,assassin
neon,warrior
frozen_spirit8,mage
cosmic8 ,assassin
rapid,assassin
hunter6,archer
viper0,mage
brave8,assassin
ghostwild1	,	mage  
   neon-dark   ,warrior
golemarrow6,tank
electric9äöü,warrior
falcon.raven,healer
 silversilver34	,tank
ancientarcane3,tank
ghost5,warrior
 reapersilver,Tank
braveiron2,assassin
silversilver,mage
ironcosmic,tank
mystic_ancient,mage
CosmiCelEcTRiC,tank
wizard_wizard9,  arcHeR 
silverwolf,healer
  huntermystic   ,mage
ironstealth0,healer
" ancient
",archer
GOlDen2,healer
brave59,healer
falcon0,tank
viper-rapid,warrior
dark2,mage
wildarcane0,archer
viper,mage
	samurai6	,healer
wardenninja2, assassin 
luckyelectric6,mage
crimson701,  healer	
   phoenix.stealt   ,healer ##
wizarddragon,archer
crimsonblade3, archer  
golem_cosmic4,assassin!!
  frozen.stealth ,mage
silent!!,tank
  arcane ,tank
wizard2,tank
wild4,mage
spirit,tank
ancient.brave,mage
goLEmNEoN,archer
cosmic44,archer
spiritfrozen,tank
" ghostrapid
",archer
   storm,assassinäöü
frozenrapid,HeALer
ghostghost89, warrior  
neon,tank
cosmicsilver,tank
shadow,assassin
silver73,mage
"   silent.iron
",tank
tigerphoenix5,mage
ghost,mage
spiritmystic,warrior
 spiritlucky14 ,warrior
arrow   ,mage
dark672,assassin
"
hunter-samurai   ", warrior
goLDEnviPEr,tank!!
tiger1,archer
ancientsilver4,archer
ironfurious,	healer	äöü
CoSMic7,assassin
dragonancient,   tANk 
crimsonsilent5,   healer   
ancient6,mage
	arcane5   ,wArRior
ancientarrow,archer
shadowblade,archer
blaDe,assassin
bladeelectric,  MAge  
electric.blade,mage
falconwarden8,archer
blade0,warrior
spirit_silver,	tank
wolf,healer
shadow,archer
silverwarden6,archer
stormwarden,assassin
stealth-shadow,mage
"
furious",mAge
goldenreaper,mage
	spiritfrozen,  mage	
arrow_arcane6,mage
LUcKY-CRiMSON,tank
spirit,archer ##
bravetiger,mage
silent622,archer
furiousknight6,archer
blade,	WARRIoR	
wild-brave8,warrior
frozen-wild2,archer
cosMIc_lucKy,archer
cosmicsamurai,mage
mysticsilent9,tank
  SilvEr1   ,healer
knight-golden3,   mage!!
crimsonstorm7,tanK
"electric
",WArrior
"mysticdragon
",assassin
shadowstorm9,tanK
KnIGHT!!,maGe
silent,mage ##
KnigHT6,   assassin	
wardenbrave,"
archer   "
dragon,assassin
golden-arrow,tank!!
warden,healer
tigerrapid,hEaLer
braveviper,"   tank
"
wolf,tank
ancient_reaper,tank
phoenix.warden,	assassin   
wildfrozen9,tank
ancient,warrior
storm553,tank
silentmystic,tank
viper,   healer 
rapid1,"
warrior
"
goldenghost4,   healer 
ancient.crimso,tank
furiouscosmic1,assassin
electricarrow6,warrior
   phoenix6   ,archer
neon_golem5,warrior
	silver-electri ,tank
cosmic_cosmic,tank
GOLEMGoLDEn0,assassin
dragon430,WaRRiOr
stormstealth0,mage
wardensilver	,archer 
shadow5,asSasSiN
brave.golden3,tank
	reapergolden	,archer
ironmystic1,tank
phoenix,mage
silent338,tank
blade.cosmic1,healer
dark,mage
wArdeN7,"	arCheR
"
spirit,archer
blade_frozen39,   archer
arcane,mage	
phoenixfurious,assassin
luCKYDARk,tank
blade3,mage
ghostsilent,aRCheR   
golem,assassin
bRAvETIGeR,warrior
wolffrozen,archer
   eleCTRic5   ,heaLEr
  bRaVe-SiLver85   ,"
healer	"
wizardgolden,mage
shadow5,healer
lucky,mage
hunter,mage
ancient567,archer
iron,healer
shadowiron,warrior
golemmystic251,"   assassin
 ##"
"
darkfrozen8   ",tank
spirit-ninja,healer
AnCIent,assassin
"
hunter8   	",warrior
neon0,archer
braveiron8,tank
golden-furious,mage
 hunter  ,mAGe
arcanesamurai,warrior
 silentwizard5   ,assassin
FAlcOn,archer
brave,mage
raven,   mage 
lucky.neon4,assassin
frozen,tank
arcane,warrior
rapidlucky,	mage   
arcanedark,mage
frozenshadow8,archer
rapidshadow25,"
archer	"
reaper, mage 
arcanecrimson,warrioräöü
phoenix,tank
arcanewarden8,tank 
electrictiger4,healer
samurai8,healer
blade_silver3,healer
dragon2,archer
ghost,tank
	neon0   ,tank
bRAVE,"
assassin	"
golden9,assassin
goldeniron,healer ##
tiger_silent1,tank
WArdEncRImSon8,tank
silver," healer
"
"
rapid  ",healer
FROZEn,warrior
ninja.iron59,warrior
ViPeR6,assassin
wild.iron17,archer
spiritfurious,assassin
wildsilver5,archer
"
wizardwizard1	",tanK
shadow_mystic,tank
tiger,healer
frozenfurious,warrior
silversilent,mage
storm268	,healer
"
frozen ",	healer
"falconlucky
",healer
darkstorm5,	healer
brave,mage
dragongolem,archer
CoSmIcghOsT,archer
samurai_darkäöü,warrior
crimsonsamurai ,healer
  wolf58	,mage
electric4,warrior
arcane,mage
lucky,assassin
crimsonhunter,healer  
mystic-lucky9,mage ##
   golden8 ,mage
fAlCon,warrior
ironwolf8,archer	
shadow4,assassin
   spirit-frozen,archer
mystic503,archer
rapid6,healer	
furious8,assassin
ArcanESiLENt,healer
tiger,assassin
reaper.iron9,   mage	
shadowneon,assassin
darkphoenix,assassin
neon,archer
ironviper587,mage
 silentneon	,archer
spIritWOlF1,assassin
wolf4,"   tank
"
hunter,mage
furious0,archer
 frozenelectric  ,assassin 
  brave	,mage
golden_neon4,tank
golden883,archer
falcon7,archer
ancient_shadow,tank
crimson,assassin
darkwizard5,assassin
BlaDEgHOSt,tank
reapermystic74,warrior
reaper_furious,HEalER
   falconrapid ,	healer  
" cosmicgolden7
",archer
  falcon ,healer
neonfrozen,tank
 neon,  warrior	
silver,tank
   warden5  ,mage
WOLF	,mage
luckyneon,tank
golem3 ,mage
viperarrow,"
HeALEr  "
 braveninja7 ,	healer
knightstealth,archer
phoenix6	," assassin
"
stealth,	assassin  
lucky_falcon9,mage
crimson,mage
reaperreaper,warrior
ghostlucky887,archer
" dark9
",assassin
   wildlucky	,archer
luckylucky1,	healer
   ninja_wolf,tank
shadow.rapid,archer
knightiron5,mage
CosmiC,"  tank
"
	ravenancient0  ,ARChEr
dark,HEaleR
dark6,warrioräöü
arrow,healer
reaper-falcon,archer
"
warden   ",tank	
frozen2,tank
BRAve6,assassin
"  arcane976
",  healer  
wizard   ,warrior
mysticreaper3,mage	
shadowwolf97,warrior
   brave.cosmic   ,archer
   electricfrozen  ,archer
golemdark2,warrior
reapermystic,healer
storm_cosmic35,assassin
ancientshadow   ,assassin
electricviper   ,healer
phoenixdark5,archer
wardencosmic,assassin
electric,   warrior  
ancient76,healer
furiousstorm92,   assassin !!
silver-reaper,tank
	electric-dark5,archer
storm.hunter,warrior
dark, warrior
wardenwolf61,tank
phoenix2 ##,warrior
braveghost,assassin
reaper,healer
ghost,archer
"
arcane52	",	archer 
golden46,mage
DragONblAdE,mage
storm,healer
shadow0,warrior
frozen-wild963,assassin!!
kNiGHT0,tank
   falcon_ninja8  ,warrior
silverancient,mage
wolfwild8,archer
furious,assassin
"
braveancient",warrior!!
stealthlucky5,HeaLER
viPErwOlf7, warrior 
"
tiger1
",tank
stormhunter3    ,tank
   electricgolem  ,warrior
hunter_silent,assassin
reapergolem,warrior
mystic1,WArrior
  frozen9,tank
crimsonstealth,archer
	darkreaper,assassin
rapid8,tank
cosmic3,assassin
mysticsamurai,   tank   
reaper.frozen3,	TaNk	
silver-viper,assassin
furious5,	archer
cosmic-viper,archer!!
frozenwolf,mage
rapid   ,"   tank
"
 hunter7,   archer   
viper9,tank
silver1,tank
reaper8,	HealER   
dragon1,healer
mystic,healer
	brave6 ,healer
ninjaancient59,	tank	
blade_blade915,healer
tiger_silent,archer
electric,assassin
electric6,mage
electric7,warrior
samurai,healer
falcon,warrior
reaperwarden6,archer
knight0,"
assassin   "
  luckyneon  ,healer
  arrowspirit,archer
ancient,  tank   
goldengolem,archer
furious3,tank
silent5,warrior
rapid907 ##,mage
luckyraven4,assassin 
cosmic_rapid,assassin
dragon,mage
arrow,warrior	
falconlucky,archer
stealth,tank
"
ElECtric
",mage 
arcane,healer
neoNdaRK, assassin 
frozen3,tank	
spirit,"	tank
"
wolfviper6,tank
cosmic,tank
warden ,"	warrior
"
dark,archeräöü
sAMurAi4,archer
tiger,healer
bravebrave,healer
arcaneancient7,warrior
shadow.brave,archer
phoenix,mage
wild,archer
furioussamurai,assassin
knightarrow,mage
CoSmIcdRagON37,tank
"
cosmicgolem	",archer
ancientwizard9,archer
arcane-ninja,mage
furioussilent7,assassin
warden.viper, tank 
silent160,archer
lucky,assassin	
electric8,tank
golden8,tank
"
golden412
",healer
 frozenstealth	,assassin
electric ##,HeaLeR
dark428 ,mage
golDeN,"
warrior "
dragontiger3,mage
goLEmkNigHt7,healer
furious,TaNK   
ninjagolem9 ,tank
falconrapid,assassin
electricdragon,"
healer "
neon90,assassin
rapidwolf,tank
ancient.ancien,archer
shadowancient0,warrior
ArcANeElECTRIc,warrior
ancient,archer
"	brave6
","	assassin
"
cosmic9,tank
wild701 ,archer
lucky-raven6,warrIor 
rapidiron411,tank
crimson3,healer
ironraven45,tank
warDeNwARDen5,mage!!
iron.ninja42 ##,	assASsin	
	samurai   ,WARRior
wolf,warrior
shadow,tank
arcanecosmic	,warrior
lucky-neon6,healer
samurai_warden,"	assassin
"
silverwild219,tank 
phoenix3,healer
viperspiRiT63,tank
electric0,warrior
crimson_lucky,healer
storm12,mage
warden,tank
electricstealt,archer ##
  frozen1	,mage
crimson7,mage
ancient,mage
falconphoenix,archer
rapid,  archer	
falcon638,healer
ninja8,assassin
frozenhunter4,healer
silversamurai3,warrior
rapid6 , assassin	
 phoenix  ,mage   
  wild ,archer
mystic,ARcHer
stealthneon,archeräöü
   electric,warrior
 arcane4   ,mage
arcaneiron4, mage   
spiritneon,	assassin   
phoenix,assassin
rapid5,mage
	viper ,healer
dark, archer	
electricfrozen,tank
   ninja   ,archer
raven-lucky31,assassin
cosmicwild,"   mage
"
tiger49,mage ##
shadow2,mage
"	arcane9
 ",warrior
arcane,mage
crimson,warrior
stealthwarden,assassin
arrowwarden45,"
healer   "
viper_frozen7,tank
rapidfalcon96,assassin
silverbrave,archer
frozen,tank
wizard8,healer
   neon8,healer
arcane-warden,archeräöü
   wildninja2	,warrior
stormarcane8,mage
crimson,hEaLeR  
electric209,archer
  arrowarcane0   	,assassin!!
reaper-wolf   ,healer
STOrMPHoeniX42,assassin
stealthgolden7,"
mage  "
wolf!!,tank
hunter,archer
neon_blade3,archer
darkninja,archer
	ninjatiger  äöü,mage
golemfalcon3,warrior
falconhunter5,healer
"
furiouselectriäöü",healer
blade_rapid,warrIoR
silent0 ##,archer
"
wolfancient ",healer
frozenreaper,archer
rapidlucky2,warrior
wild,archer
cosmic3,  warrior   
furious_electr,MagE
mystic,mage
ninja,assassin
lucky,tank
iron8,assassin
ninjairon,  warrior
ninja0,assassin
furious6,archeräöü
tIGEr8,"  tank
"
fALcONCrimSon5,archer
shadow94,healer
wild9, archer 
FUriOUsFuRIOUS,HeaLer
rapid3,MAGe
arcane_dark,assassin
phoenix,healer
wolfdark78,warrior
rapidspirit86,assassin
phoenix,"  healer
"
crimsonwizard6,warrior
rapid9,archer 
bravecrimson,"
assassin   "
wild7,   archer   
viper6 ,Tank
lucky7,archer 
bladefalcon72,healer
blade-crimson,healer
bravebrave,healer
cosmic,healer
crimson,warrior
frozen3,   warrior   
 phoenix7  , archer 
blade8,"	healer
"
furiousarrow,tank	
raven.iron,HEALEr
blade718,mage
" silver1
",   tank	
cosmicarcane0,warrior
crimson67,assassin
viper.dragon,tank
   rapid2 ,healer
warden,healer
mystic-spirit,mage
silentneon8,assassin
mystic7,tank
viper,"
mage	"
neonfurious,archer
wild_neon8,"	archer
"
dark,healer
"
ancient48  ",healer
ancient,archer	
wildwizard,  mage   
hunterancient,archer
phoenixbrave7,archeräöü
StEAltH1,mage
brave1,"
archer	"
silent,archer
dark35,assassin	
golden_neon,	tank
furious5,warrior
tiger0,"heALER
"
phoenix,tank
rapidphoenix27,tank
dark,mage
arcaneneon,   healer   ##
rapid,arcHER
lucky-hunter0,aSsassiN  
ancientninja,archer
electric27,healer
crimson71,	warrior
huntersilent14,archer
shadow9,mage
dragon1	,archer
samurai,assassin
silver2,tank
mystic4,assassin
knight,healer
