playername,role
arcaneblade,healer
arcanebrave1,warrior
arcanecrimson5!!,mage
arcanedragon64,warrior
arcaneelectric,assassin
arcanefrozen9,mage
arcanefurious,healer
arcanefurious6,warrior
arcanegolden2,assassin
arcanehunter0,tank
arcaneiron303,warrior
arcaneknight5,assassin
arcanelucky,assassin
arcanelucky23,warrior
arcanemystic,mage
arcanemystic!!,healer
arcanemystic9,healer
arcaneneon3,healer
arcaneneon9,mage
arcaneninja,healer
arcanephoenix4,healer
arcanereaper,tank
arcaneshadow,tank
arcaneshadow53,tank
arcanesilent,archer
arcanesilent1äöü,healer
arcanesilver,archer
arcanesilver0,mage
arcanesilver75,warrior
arcanestealth4,healer
arcanestorm,mage
arcanestorm2,archer
arcanetiger,assassin
arcanetiger1,warrior
arcanewarden,tank
arcanewarden1,warrior
arcanewild,healer
arcanewolf,warrior
arcanewolf460,assassin
arcaneäöü,archer
arrow,tank
arrow-dragon,assassin
arrow-dragon82,archer
arrow-phoenix,healer
arrow-silent3,healer
arrow-tiger2,archer
arrow.arcane5,archer
arrow.dark9,assassin
arrow.ghost,archer
arrow.ninja,tank
arrow.ninja4,assassin
arrow.reaper96,healer
arrow.silver,tank
arrow0,healer
arrow11,assassin
arrow3,healer
arrow32,assassin
arrow4,mage
arrow5,tank
arrow58,healer
arrow61,warrior
arrow7,warrior
arrow8,assassin
arrow9,tank
arrow_cosmic4,mage
arrow_frozen,archer
arrow_frozen6,assassin
arrow_mystic,assassin
arrow_ninja70,archer
arrow_phoenix1,warrior
arrow_warden,healer
arrowblade0,tank
arrowbrave8,mage
arrowcosmic,assassin
arrowcrimson2,mage
arrowcrimson4,assassin
arrowdark2,archer
arrowdragon1,assassin
arrowelectric,assassin
arrowelectric3,assassin
arrowfurious,warrior
arrowghost4,archer
arrowhunter,warrior
arrowhunter0,warrior
arrowiron0,healer
arrowiron6,healer
arrowiron73,tank
arrowlucky78,healer
arrowmystic9,assassin
arrowneon,tank
arrowneon1,warrior
arrowneon8,healer
arrowninja84,healer
arrowphoenix,assassin
arrowshadow5,healer
arrowsilent1,warrior
arrowsilent9,tank
arrowsilver,archer
arrowsilver8,tank
arrowstealth,healer
arrowtiger!!,assassin
arrowviper,mage
arrowwarden,warrior
arrowwarden6,tank
arrowwild4,assassin
arrowwolf2,warrior
blade,mage
blade-ancient5,mage
blade-arcane,archer
blade-cosmic8,archer
blade.ancient8,healer
blade.arcane,assassin
blade0,assassin
blade0 ##,warrior
blade1,mage
blade2,mage
blade30,tank
blade35,archer
blade396,tank
blade4,healer
blade44,archer
blade5,mage
blade51,assassin
blade57,tank
blade6,healer
blade69,healer
blade7,archer
blade70,warrior
blade8!!,healer
blade9,warrior
blade_cosmic,healer
blade_golden4,healer
blade_iron,tank
blade_iron2,assassin
blade_warden,warrior
bladearcane0,archer
bladearcane2,healer
bladearcane2 ##,healer
bladearrow,healer
bladebrave451,healer
bladecosmic,tank
bladecosmic9,assassin
bladecrimson6,archer
bladeelectric,mage
bladefrozen,mage
bladegolden67,tank
bladeknight,tank
bladelucky4,warrior
bladeneon,warrior
bladeninja9,mage
bladephoenix4,archer
bladeshadow,warrior
bladesilent,archer
bladestealth,healer
bladestealth4,archer
bladestealth5,warrior
bladestorm,warrior
bladetiger8,mage
bladeviper9,assassin
bladewarden57,mage
bladewild2,warrior
brave,healer
brave ##,mage
brave!!,tank
brave-electric,healer
brave-mystic,mage
brave-phoenix7,tank
brave-raven,assassin
brave-silent27,assassin
brave.crimson5,assassin
brave.mystic9,archer
brave.storm254,tank
brave.storm3,warrior
brave0,healer
brave1,warrior
brave2,assassin
brave297,mage
brave3,mage
brave33,archer
brave369,mage
brave4,archer
brave414,tank
brave43,assassin
brave460,assassin
brave5,tank
brave52,tank
brave53,archer
brave6,archer
brave7,healer
brave70,assassin
brave8,warrior
brave916,healer
brave918,healer
brave94,mage
brave95,mage
brave97,tank
brave_brave,mage
brave_cosmic,archer
brave_electric,tank
brave_frozen12,assassin
brave_samurai4,archer
brave_samurai7,warrior
brave_storm5,tank
braveancient,warrior
braveancient8,archer
bravearcane36,mage
bravearrow3,assassin
bravearrow39,assassin
braveblade4,archer
bravebrave2,archer
bravebrave3,warrior
bravecosmic60,tank
bravecrimson,mage
bravecrimson1,tank
braveelectric,assassin
braveelectric4,healer
bravefalcon581,archer
bravefrozen,mage
bravefrozen4,archer
bravefurious,archer
bravehunter,assassin
braveiron,warrior
braveiron7,tank
braveknight,tank
braveknight0,healer
bravelucky,archer
braveneon,healer
bravephoenix,assassin
braverapid6,tank
braveraven14,warrior
bravereaper,tank
bravesamurai38,healer
braveshadow4,mage
braveshadow514,mage
bravesilver27,archer
bravesilver403,mage
bravespirit,tank
bravestorm3,assassin
bravetiger,warrior
bravetiger0,warrior
bravetiger1,healer
braveviper139,mage
bravewizard,archer
bravewizard5,healer
bravewolf157,archer
braveäöü,tank
cosmic,warrior
cosmic-arrow0,tank
cosmic-crimson,archer
cosmic-lucky8,mage
cosmic-raven,assassin
cosmic-samurai,warrior
cosmic-silent,archer
cosmic-wizard0,archer
cosmic.arrow63,healer
cosmic.brave,healer
cosmic.electri,archer
cosmic.frozen,archer
cosmic.frozen1,healer
cosmic.knight,archer
cosmic.neon,warrior
cosmic.samurai,assassin
cosmic.silent0,assassin
cosmic.silent8äöü,mage
cosmic0,archer
cosmic1,warrior
cosmic13,warrior
cosmic2,archer
cosmic217,archer
cosmic28,assassin
cosmic3,tank
cosmic314,assassin
cosmic34,archer
cosmic36,healer
cosmic42,warrior
cosmic5,warrior
cosmic6,mage
cosmic605,healer
cosmic7,archer
cosmic703,healer
cosmic8,healer
cosmic82,mage
cosmic9,mage
cosmic_brave,archer
cosmic_cosmic,healer
cosmic_dragon5,mage
cosmic_falcon3,assassin
cosmic_furious,warrior
cosmic_ghost1,archer
cosmic_golden,archer
cosmic_rapid,mage
cosmic_raven4,tank
cosmic_shadow,archer
cosmic_tiger8,archer
cosmicancient,mage
cosmicancient9,healer
cosmicarcane6,tank
cosmicarcane8,assassin
cosmicarcane9,warrior
cosmicarrow1,assassin
cosmicblade66 ##,tank
cosmicbrave1,mage
cosmicbrave114,warrior
cosmiccosmic,tank
cosmicdark,healer
cosmicdark7,healer
cosmicdragon2,mage
cosmicdragon87,archer
cosmicfalcon,tank
cosmicfrozen,tank
cosmicfrozen0,warrior
cosmicgolden,archer
cosmicgolem9,archer
cosmiciron,archer
cosmiciron2,archer
cosmicknight,warrior
cosmicknight8,warrior
cosmiclucky,healer
cosmicneon8,assassin
cosmicninja,archer
cosmicrapid,archer
cosmicrapid88,archer
cosmicsamurai,warrior
cosmicshadow83,warrior
cosmicsilent,mage
cosmicsilent37,archer
cosmicstealth8,archer
cosmicstorm,mage
cosmicviper,mage
cosmicviper1,mage
cosmicviper8,healer
cosmicwarden7,tank
cosmicwild,mage
cosmicwild4,healer
cosmicwizard8,healer
crimson,archer
"crimson
 ##",archer
crimson-ancien,tank
crimson-blade2,mage
crimson-brave9,archer
crimson-cosmic,assassin
crimson-dragon,healer
crimson-golden,healer
crimson-iron1,assassin
crimson-knight,healer
crimson-shadow,mage
crimson-stealt,mage
crimson.arcane,archer
crimson.arcane ##,tank
crimson.golem3,healer
crimson.neon,tank
crimson.raven6,mage
crimson.samura,warrior
crimson.wild1,tank
crimson.wolf,warrior
crimson0,warrior
crimson1,archer
crimson12,healer
crimson15,warrior
crimson16,assassin
crimson17,healer
crimson2,tank
crimson26,archer
crimson3,tank
crimson317,mage
crimson32,healer
crimson359,assassin
crimson4,healer
crimson40,healer
crimson444,warrior
crimson49,mage
crimson5,tank
crimson6,assassin
crimson7,tank
crimson75,archer
crimson8,archer
crimson9,archer
crimson93,mage
crimson94,assassin
crimson940,warrior
crimson_falcon,archer
crimson_hunter,healer
crimson_neon,warrior
crimson_shadow,healer
crimson_storm1,tank
crimson_wizard,archer
crimsonancient,archer
crimsonarcane,healer
crimsonarcane!!,warrior
crimsonarcane6,tank
crimsonarrow9,healer
crimsonblade,warrior
crimsonbrave,archer
crimsonbrave4,warrior
crimsonbrave8,assassin
crimsoncosmic,mage
crimsoncrimson,assassin
crimsondark75,mage
crimsondragon,tank
crimsonelectri,tank
crimsonfrozen3,tank
crimsonfurious,warrior
crimsonghost,assassin
crimsongolden7,tank
crimsongolem,tank
crimsonhunter,warrior
crimsoniron,tank
crimsoniron7,assassin
crimsonlucky,tank
crimsonlucky0,assassin
crimsonmystic8,assassin
crimsonneon20,healer
crimsonneon94,tank
crimsonneonäöü,mage
crimsonninja,assassin
crimsonphoenix,warrior
crimsonraven,mage
crimsonreaper,warrior
crimsonreaper6,archer
crimsonsamurai,tank
crimsonshadow,mage
crimsonsilent8,assassin
crimsonsilver,archer
crimsonspirit8,assassin
crimsonstealth,archer
crimsontiger,archer
crimsontiger6,mage
crimsontiger7,healer
crimsonwarden,archer
crimsonwild,mage
crimsonwild4,warrior
crimsonwizard,assassin
dark,assassin
dark-ancient1,warrior
dark-arrow4äöü,mage
dark-cosmic,healer
dark-falcon,warrior
dark-phoenix55,healer
dark.rapid779,tank
dark.raven,tank
dark.wild7,tank
dark.wizard1,warrior
dark0,assassin
dark1,healer
dark12,archer
dark2,healer
dark22,tank
dark3,assassin
dark4,assassin
dark48,archer
dark5,tank
dark6,healer
dark7,healer
dark76,assassin
dark8,warrior
dark9,warrior
dark9!!,warrior
dark93,tank
dark_ancient,mage
dark_ancient66,archer
dark_arrow7,tank
dark_brave,warrior
dark_furious,warrior
dark_golden,healer
dark_knight220,mage
dark_ninja,mage
dark_reaper0,mage
dark_silent78,healer
dark_storm,tank
darkancient,warrior
darkarcane,healer
darkarcane385,tank
darkarrow,archer
darkarrow0,healer
darkarrow5,mage
darkbrave,archer
darkbrave1,archer
darkbrave3,tank
darkbrave89,assassin
darkcosmic,assassin
darkcrimson,tank
darkcrimson9,mage
darkcrimson939,tank
darkdark,tank
darkdark185 !!,tank
darkdark4,tank
darkdragon0,tank
darkelectric,warrior
darkelectric ##,warrior
darkelectric!!,archer
darkelectric0,archer
darkfalcon,healer
darkfrozen,mage
darkfrozen2,tank
darkfrozen5,archer
darkfurious9,mage
darkghost35,tank
darkgolden,mage
darkgolden4,warrior
darkgolem791,mage
darkiron0,healer
darkiron9,tank
darkknight9,mage
darklucky,archer
darklucky86,warrior
darkmystic,assassin
darkneon7,archer
darkninja,warrior
darkninja5,tank
darkrapid4äöü,healer
darkraven,mage
darkshadow7,archer
darksilent,assassin
darksilver,warrior
darkspirit,warrior
darkspirit1,tank
darkstorm,tank
darkstorm9,healer
darkwild,assassin
darkwild4,archer
darkwild6,mage
darkwolf,mage
darkwolf9,assassin
darkäöü,assassin
dragon,warrior
dragon!!,healer
dragon-silver8,warrior
dragon.cosmic7,mage
dragon.knight,mage
dragon.wild3,archer
dragon0,archer
dragon1,assassin
dragon28,archer
dragon3,archer
dragon324,warrior
dragon44,mage
dragon48,healer
dragon5,archer
dragon52,healer
dragon6,healer
dragon66,mage
dragon8,archer
dragon9,mage
dragon_arcane8,healer
dragon_blade,healer
dragon_knight6,mage
dragon_mystic9,healer
dragon_neon,healer
dragon_samurai,assassin
dragon_viper,healer
dragonancient9,tank
dragonarcane,healer
dragonbrave894,tank
dragoncrimson,tank
dragoncrimson4,archer
dragoncrimson5,archer
dragondragon,warrior
dragonelectric,archer
dragonfrozen27,tank
dragonfrozen4,healer
dragonfurious,mage
dragonfurious4,tank
dragonfurious7,warrior
dragonghost,warrior
dragonghost3,tank
dragongolden,archer
dragoniron,assassin
dragonmystic,assassin
dragonneon,warrior
dragonneon5,tank
dragonphoenix5,healer
dragonphoenix8,assassin
dragonraven3,mage
dragonreaper,warrior
dragonshadow,warrior
dragonstealth,healer
dragonstorm ##,warrior
dragontiger,archer
dragonviper,assassin
dragonwarden,warrior
dragonwild8,assassin
dragonwizard8,assassin
electric,warrior
electric-brave,healer
electric-crims,mage
electric-lucky,healer
electric-warde,tank
electric.brave ##,healer
electric.lucky,mage
electric.ninja  äöü,mage
electric.raven,mage
electric.shado,assassin
electric.storm,warrior
electric.wolf7,tank
electric1,archer
electric14,archer
electric190,healer
electric2,archer
electric21,mage
electric3,archer
electric308,mage
electric322,tank
electric4,tank
electric5,tank
electric57,mage
electric6,healer
electric61,tank
electric7,healer
electric72,tank
electric8,healer
electric9,warrior
electric96,archer
electric_mysti,tank
electric_rapid,assassin
electric_samur,assassin
electric_wild,archer
electricancien,archer
electricblade,warrior
electriccosmic,assassin
electriccrimso,tank
electricdark10,mage
electricdark34,archer
electricdragon,healer
electricelectr,assassin
electricfalcon,healer
electricfrozen,healer
electricfuriou,assassin
electricgolden,tank
electricgolem,healer
electricgolem3,archer
electrichunter,assassin
electricknight,archer
electriclucky,tank
electricmystic,tank
electricneon,warrior
electricneon91,warrior
electricninja9,archer
electricrapid,assassin
electricrapid5,warrior
electricrapid7,warrior
electricraven,warrior
electricraven9,healer
electricsamura,mage
electricsilent,warrior
electricstealt,healer
electricviper,mage
electricviper2,archer
electricwarden,warrior
electricwild,assassin
electricwizard,warrior
electricwolf,assassin
falcon,healer
falcon-crimson,tank
falcon-golem,tank
falcon-neon7,assassin
falcon-viper0,tank
falcon.electri,healer
falcon.golem5,healer
falcon.lucky,warrior
falcon.mystic,archer
falcon.shadow,assassin
falcon.wolf,assassin
falcon0,healer
falcon1,mage
falcon4,healer
falcon470,warrior
falcon48,mage
falcon5,assassin
falcon51,healer
falcon61,assassin
falcon62,warrior
falcon7,mage
falcon73,tank
falcon886,healer
falcon8äöü,archer
falcon9,tank
falcon91,archer
falcon99,assassin
falcon_arcane6,warrior
falcon_blade,warrior
falcon_crimson,assassin
falcon_golden,mage
falcon_ninja,tank
falcon_spirit,healer
falcon_tiger9,assassin
falconancient,warrior
falconancient4,assassin
falconarrow,mage
falconblade,archer
falconblade9,archer
falconcosmic,assassin
falconcosmic!!,healer
falconcrimson,archer
falcondragon,tank
falconelectric,archer
falconfrozen,tank
falcongolem,tank
falconhunter,tank
falconiron7,warrior
falconknight,assassin
falconlucky453,archer
falconmystic,assassin
falconmystic4,tank
falconninja4!!,assassin
falconrapid6,warrior
falconraven,assassin
falconreaper,healer
falconreaper6,warrior
falconsilent,archer
falconspirit,warrior
falcontiger,healer
frozen,tank
frozen-rapid4,assassin
frozen-shadow,tank
frozen-silent6,healer
frozen-storm,healer
frozen-viper,assassin
frozen-wild0,tank
frozen.brave4,mage
frozen.dark,healer
frozen.golem13,warrior
frozen.hunter5,tank
frozen.shadow6,warrior
frozen.viper,tank
frozen.wild7,warrior
frozen0,tank
frozen1,tank
frozen15,healer
frozen2,warrior
frozen29,assassin
frozen3,warrior
frozen33,healer
frozen4,archer
frozen48,warrior
frozen5,tank
frozen58,healer
frozen6,archer
frozen635,assassin
frozen7,archer
frozen72,mage
frozen75,tank
frozen8,mage
frozen88,archer
frozen9,mage
frozen934,healer
frozen_ancient,mage
frozen_falcon,warrior
frozen_falcon1,warrior
frozen_frozen,mage
frozen_ghost27,warrior
frozen_phoenix,archer
frozen_stealth,warrior
frozen_wizard2,warrior
frozenancient1,archer
frozenarcane2,warrior
frozenarrow,tank
frozenblade,healer
frozenblade4,tank
frozenblade6,healer
frozenbrave,healer
frozenbrave1,assassin
frozendark6,tank
frozenelectric,mage
frozenfrozen18,archer
frozenfrozen5,healer
frozenfurious,archer
frozenfurious1,tank
frozenfurious7,warrior
frozenfurious8,mage
frozenghost,warrior
frozengolden,mage
frozengolden45,archer
frozengolden5,mage
frozengolem622,mage
frozenhunter,tank
frozeniron,assassin
frozenknight51,healer
frozenlucky,assassin
frozenlucky86,assassin
frozenmystic,healer
frozenneon4,tank
frozenneon52,tank
frozenninja,healer
frozenninja9,archer
frozenphoenix,warrior
frozenrapid,warrior
frozenrapid3,mage
frozenrapid950,tank
frozenshadow,assassin
frozensilent1,tank
frozensilver,warrior
frozenstealth,warrior
frozenstealth3,healer
frozenstorm,warrior
frozentiger,tank
frozentiger26,tank
frozenwarden,tank
frozenwild3,healer
frozenwild7,assassin
frozenwizard,tank
frozenwizard78,healer
frozenwolf3,warrior
frozenwolf4,assassin
frozenwolf6,assassin
furious,archer
furious!!,tank
furious-ancien,healer
furious-electr,mage
furious-hunter,assassin
furious-mystic,tank
furious-phoeni,mage
furious-shadow,archer
furious-silver,healer
furious.brave,tank
furious.falcon,tank
furious.ghost9,assassin
furious.golden,archer
furious.knight,warrior
furious.lucky3,assassin
furious.mystic,archer
furious.rapid0,assassin
furious.silent,tank
furious.silver,tank
furious0,assassin
furious0	 ##,mage
furious1,archer
furious15,archer
furious18,tank
furious2,healer
furious3,assassin
furious3 ##,tank
furious31,assassin
furious32,archer
furious35,healer
furious4,tank
furious46,warrior
furious48,warrior
furious5,archer
furious59,archer
furious5äöü,mage
furious6,warrior
furious7,assassin
furious769,tank
furious77,archer
furious79,healer
furious8,archer
furious800,assassin
furious86,assassin
furious9,healer
furious_furiou,tank
furious_golden,tank
furious_lucky,tank
furious_mystic,assassin
furious_phoeni,tank
furious_shadow,warrior
furiousancient,warrior
furiousarcane2,healer
furiousarcane6,assassin
furiousarrow84,tank
furiousblade,assassin
furiousbrave98,tank
furiouscosmic,tank
furiouscosmic7,tank
furiouscrimson,healer
furiousdark3,warrior
furiousdragon,healer
furiousfalcon,tank
furiousfalcon9,assassin
furiousfrozen,archer
furiousfrozen2,tank
furiousfrozen4,tank
furiousfurious,assassin
furiousfurious!!,mage
furiousghost,assassin
furiousghost5äöü,healer
furiousghost8,warrior
furiousgolden3,mage
furiousgolem1,archer
furiousgolem4,assassin
furiousgolem6,warrior
furiousgolem82,tank
furioushunter,assassin
furioushunter3,archer
furioushunter9,assassin
furiousknight0,archer
furiouslucky,healer
furiouslucky4,tank
furiousneon,tank
furiousneon44,healer
furiousninja,warrior
furiousrapid,mage
furiousrapid1,mage
furiousrapid2,tank
furiousrapid25,healer
furiousrapid9,archer
furiousraven0,tank
furiousraven1,archer
furiousreaper,tank
furioussamurai,warrior
furiousshadow,healer
furioussilent,archer
furioussilver4 ##,warrior
furiousspirit,mage
furiousstealth,archer
furiousstorm,archer
furiousstorm4,mage
furioustiger,tank
furiousviper,tank
furiouswarden,assassin
furiouswarden2,tank
furiouswild,healer
furiouswild0,mage
furiouswild9,tank
furiouswild93,assassin
furiouswild93  äöü,assassin
furiousäöü,assassin
ghost,archer
ghost-frozen,warrior
ghost-golem8,warrior
ghost-neon4,tank
ghost-phoenix,mage
ghost-silver,assassin
ghost.reaper,tank
ghost.shadow,healer
ghost0,healer
ghost1,tank
ghost100,mage
ghost2,healer
ghost26,mage
ghost3,healer
ghost36,archer
ghost37,healer
ghost4,warrior
ghost5,tank
ghost6,warrior
ghost64,warrior
ghost7,warrior
ghost74,mage
ghost8,archer
ghost821,healer
ghost87,mage
ghost9,healer
ghost92,archer
ghost98,warrior
ghost_arcane9,warrior
ghost_falcon,mage
ghost_hunter,archer
ghost_lucky9,warrior
ghost_neon,healer
ghost_shadow3,mage
ghost_storm,assassin
ghost_viper19,mage
ghostarcane5,mage
ghostarcane6,assassin
ghostarcane9,archer
ghostarrow8,tank
ghostblade,archer
ghostbrave,assassin
ghostbrave43,warrior
ghostcrimson,warrior
ghostdragon84,warrior
ghostfrozen,mage
ghostgolden296,healer
ghostgolem316,assassin
ghostiron,archer
ghostiron7,mage
ghostneon5,mage
ghostninja1,warrior
ghostninja3,archer
ghostninja6,healer
ghostrapid,tank
ghostraven4,archer
ghostsilver2,mage
ghostsilver965,healer
ghostspirit3,healer
ghoststealth,tank
ghostviper,healer
ghostwarden,archer
ghostwarden9,tank
ghostwild4,archer
ghostwizard,assassin
golden,healer
golden!!,warrior
golden-dark,warrior
golden-falcon,healer
golden-iron,healer
golden-lucky,healer
golden-raven,tank
golden-silver,warrior
golden-tiger,warrior
golden-tiger4,tank
golden-wolf6,assassin
golden.ancient,mage
golden.brave3,assassin
golden.cosmic,tank
golden.dark,warrior
golden.dragon8,healer
golden.furious,assassin
golden.hunter,mage
golden.storm80,warrior
golden.wolf1,warrior
golden0,mage
golden1,assassin
golden12,warrior
golden14,mage
golden153,mage
golden2,warrior
golden22,warrior
golden3,assassin
golden37,tank
golden429,healer
golden46,healer
golden5,mage
golden574,warrior
golden6,tank
golden63,healer
golden639,mage
golden696,tank
golden7,assassin
golden8,mage
golden82,warrior
golden88,mage
golden9,tank
golden_frozen,archer
golden_hunter4,mage
golden_ninja ##,assassin
golden_shadow,archer
golden_tiger5,archer
goldenarcane,assassin
goldenarcane0,assassin
goldenarcane6,mage
goldenblade,tank
goldenblade4,warrior
goldendark,archer
goldendark158,archer
goldendragon0,archer
goldenelectric,archer
goldenfalcon,warrior
goldenfurious4,tank
goldenghost,archer
goldengolden5,assassin
goldengolden9,warrior
goldengolem,assassin
goldenhunter,healer
goldenhunter2,healer
goldeniron,archer
goldenlucky,mage
goldenlucky0,healer
goldenneon,mage
goldenneon610,assassin
goldenninja,healer
goldenraven,tank
goldenraven3,warrior
"goldenraven57
äöü",warrior
goldenreaper   !!,tank
goldensamurai,warrior
goldenshadow9,mage
goldensilent,tank
goldensilent5,warrior
goldensilent9,archer
goldensilver9,tank
goldenstealth,mage
goldenstealth2,archer
goldenstealth3,assassin
goldentiger,archer
goldenviper,mage
goldenviper1,archer
goldenwild9   äöü,healer
golem,assassin
golem!!,assassin
golem-dark,healer
golem-dragon,warrior
golem-stealth,archer
golem-warden,healer
golem-wild,healer
golem.cosmic,assassin
golem.falcon,warrior
golem.golden87,warrior
golem.rapid6,archer
golem.spirit6,warrior
golem.warden,healer
golem0,healer
golem1,mage
golem2,healer
golem3,mage
golem359,assassin
golem38,assassin
golem4,assassin
golem5,assassin
golem55,assassin
golem6,healer
golem613,archer
golem7,assassin
golem89,assassin
golem9,warrior
golem960,healer
golem_blade101,archer
golem_lucky,tank
golem_neon,tank
golem_reaper93,mage
golem_shadow7,assassin
golem_silver,mage
golem_stealth,archer
golemarcane27!!,healer
golemarcane50,healer
golemcosmic7,assassin
golemcrimson,tank
golemelectric,healer
golemelectric4,mage
golemfalcon!!,mage
golemfurious ##,tank
golemghost1,archer
golemknight6,assassin
golemlucky,warrior
golemlucky8,warrior
golemmystic,warrior
golemmystic8,mage
golemneon,assassin
golemsamurai,assassin
golemsamurai2,archer
golemshadow,archer
golemsilver199,healer
golemstealth,warrior
golemviper,mage
golemviper1,assassin
golemwarden5,mage
golemwild,tank
golemwolf,archer
hunter,warrior
hunter ##,warrior
hunter!!,assassin
hunter-golem7,healer
hunter-neon6,warrior
hunter-wild5,assassin
hunter.cosmic,tank
hunter.dragon,healer
hunter.frozen,assassin
hunter.mystic9,tank
hunter.tiger3,healer
hunter0,tank
hunter0!!,mage
hunter1,mage
hunter135,tank
hunter135äöü,warrior
hunter14,assassin
hunter2,assassin
hunter20,healer
hunter218,assassin
hunter3,mage
hunter47,archer
hunter5,archer
hunter6,archer
hunter616,warrior
hunter7,warrior
hunter79,healer
hunter8,tank
hunter872,assassin
hunter9,healer
hunter9!!,healer
hunter_arcane3,tank
hunter_blade,mage
hunter_golem,tank
hunter_mystic7,mage
hunter_raven,tank
hunter_reaper9,assassin
hunterancient,assassin
hunterbrave1,archer
hunterfrozen,archer
hunterfrozen70,warrior
hunterfurious,mage
hunterghost,archer
hunteriron4,mage
hunteriron47,warrior
hunterlucky436,tank
hunterneon3,healer
hunterneon9,mage
hunterphoenix,archer
hunterrapid,tank
hunterreaper,mage
hunterreaper4,tank
huntersamurai6,archer
huntershadow,assassin
hunterspirit,healer
hunterstealth,assassin
hunterstealth6,archer
huntertiger,healer
huntertiger96,mage
hunterwild0,assassin
hunterwizard,archer
hunterwizard70,assassin
hunteräöü,archer
iron,warrior
iron ##,assassin
iron-frozen,tank
iron-golem6,archer
iron-knight2,healer
iron-storm6,healer
iron.golem,archer
iron.hunter4,tank
iron.knight,warrior
iron.samurai,healer
iron.shadow,healer
iron.silent,mage
iron.silent0,warrior
iron.viper,mage
iron.viper9,tank
iron0,warrior
iron1,mage
iron19,tank
iron2,mage
iron3,assassin
iron35,mage
iron36,archer
iron4,warrior
iron5,mage
iron500,tank
iron6,warrior
iron63,mage
iron684,archer
iron7,assassin
iron7!!,assassin
iron778,archer
iron792,warrior
iron853,tank
iron9,mage
iron_hunter1,warrior
iron_lucky2,mage
iron_mystic6,archer
iron_samurai,assassin
iron_samurai6,assassin
iron_tiger,healer
ironarrow,archer
ironblade85,healer
ironbrave,healer
ironbrave5,mage
ironcosmic,healer
irondark,archer
irondark2,mage
ironelectric,tank
ironelectric45,healer
ironfalcon4,tank
ironfrozen,assassin
ironfrozen3,archer
ironfurious,archer
