playername,role
bladefurious,assassin
bladefurious3,healer
bladefurious7,healer
bladeghost,tank
bladegolden0,mage
bladegolden67,tank
bladegolem,archer
bladehunter,assassin
bladehunter2,tank
bladeiron,archer
bladeknight,tank
bladelucky,archer
bladelucky17,archer
bladelucky4,warrior
bladelucky6,assassin
bladeneon,archer
bladeneon97,warrior
bladeninja9,mage
bladephoenix4,archer
bladerapid,tank
bladerapid4,tank
bladerapid495,tank
bladeraven,tank
bladesamurai7,warrior
bladeshadow,warrior
bladesilent,archer
bladesilver,archer
bladespirit553,archer
bladestealth,healer
bladestealth4,archer
bladestealth5,warrior
bladestealth8,archer
bladestorm,tank
bladetiger8,mage
bladeviper9,assassin
bladewarden57,mage
bladewild2,warrior
brave,assassin
brave ##,warrior
brave!!,tank
brave-cosmic,healer
brave-dark52,tank
brave-electric,healer
brave-furious,assassin
brave-furious1,tank
brave-hunter7,healer
brave-iron0,mage
brave-mystic,mage
brave-phoenix7,tank
brave-raven,assassin
brave-shadow,archer
brave-silent27,assassin
brave-silent8,assassin
brave-silver85,healer
brave-wild,warrior
brave.brave,warrior
brave.cosmic,archer
brave.crimson5,assassin
brave.golden3,tank
brave.iron,mage
brave.mystic9,archer
brave.rapid,warrior
brave.raven4,mage
brave.silent,mage
brave.silent5,mage
brave.spirit,warrior
brave.storm254,tank
brave.storm3,warrior
brave.viper,mage
brave.wild,tank
brave.wolf,archer
brave0,healer
brave1,archer
brave2,warrior
brave21,warrior
brave26,healer
brave297,mage
brave3,assassin
brave32,healer
brave33,assassin
brave369,mage
brave4,mage
brave414,tank
brave43,assassin
brave460,assassin
brave5,healer
brave52,warrior
brave53,archer
brave59,healer
brave6,tank
brave601,warrior
brave7,warrior
brave70,assassin
brave8,assassin
brave81,healer
brave9,archer
brave916,healer
brave917,warrior
brave918,healer
brave94,mage
brave95,mage
brave97,tank
brave9äöü,tank
brave_brave,mage
brave_cosmic,archer
brave_electric,tank
brave_frozen12,assassin
brave_golden4,mage
brave_golden7,assassin
brave_golem,archer
brave_lucky745,warrior
brave_neon,tank
brave_samurai4,archer
brave_samurai7,warrior
brave_storm5,tank
brave_tiger,tank
brave_tiger6,mage
brave_viper,mage
brave_wild1,tank
brave_wizard,warrior
braveancient,warrior
braveancient8,archer
bravearcane,warrior
bravearcane1,healer
bravearcane2,tank
bravearcane36,mage
bravearrow,assassin
bravearrow3,assassin
bravearrow39,assassin
braveblade,healer
braveblade4,archer
bravebrave,healer
bravebrave2,archer
bravebrave3,warrior
bravecosmic0,assassin
bravecosmic60,tank
bravecrimson,assassin
bravecrimson1,tank
bravedark6,tank
bravedragon,warrior
braveelectric,assassin
braveelectric4,healer
bravefalcon,archer
bravefalcon581,archer
bravefalcon9,assassin
bravefrozen,archer
bravefrozen4,archer
bravefurious,archer
braveghost,assassin
braveghost2,archer
braveghost6äöü,tank
bravegolden,healer
bravehunter,assassin
braveiron,warrior
braveiron113,assassin
braveiron2,assassin
braveiron7,assassin
braveiron8,tank
braveknight,tank
braveknight0,healer
bravelucky,archer
bravemystic,tank
bravemystic15,healer
braveneon,healer
braveninja0,assassin
braveninja7,healer
bravephoenix,tank
bravephoenix ##,assassin
bravephoenix5,healer
bravephoenix67,warrior
braverapid,mage
braverapid2,archer
braverapid6,tank
braveraven14,warrior
braveraven7,warrior
bravereaper,tank
bravereaper7,archer
bravesamurai,mage
bravesamurai38,healer
braveshadow,mage
braveshadow4,mage
braveshadow514,mage
braveshadow88,warrior
bravesilent,mage
bravesilent0,archer
bravesilver27,archer
bravesilver403,mage
bravesilver7,mage
bravesilver8,archer
bravespirit,tank
bravespirit2,tank
bravestealth,healer
bravestealth86,healer
bravestorm3,assassin
bravetiger,mage
bravetiger0,warrior
bravetiger1,healer
bravetiger7,assassin
braveviper,tank
braveviper139,mage
braveviper67,archer
bravewarden,assassin
bravewizard,mage
bravewizard5,healer
bravewolf157,archer
braveäöü,tank
cosmic,tank
cosmic-arrow0,tank
cosmic-crimson,archer
cosmic-frozen,warrior
cosmic-furious,tank
cosmic-golden9,tank
cosmic-lucky8,mage
cosmic-raven,assassin
cosmic-samurai,warrior
cosmic-silent,warrior
cosmic-wizard0,archer
cosmic.ancient,mage
cosmic.arrow63,healer
cosmic.brave,healer
cosmic.brave54,tank
cosmic.dragon,healer
cosmic.electri,archer
cosmic.frozen,archer
cosmic.frozen1,healer
cosmic.frozen5,archer
cosmic.golden,warrior
cosmic.knight,archer
cosmic.neon,warrior
cosmic.samurai,mage
cosmic.silent0,assassin
cosmic.silent8äöü,mage
cosmic.stealth,warrior
cosmic.wolf,tank
cosmic0,mage
cosmic1,tank
cosmic13,warrior
cosmic16,tank
cosmic18,mage
cosmic2,tank
cosmic217,archer
cosmic230,assassin
cosmic28,assassin
cosmic287,warrior
cosmic3,assassin
cosmic314,assassin
cosmic34,archer
cosmic36,healer
cosmic4,archer
cosmic40,warrior
cosmic42,warrior
cosmic420,archer
cosmic423,assassin
cosmic44,archer
cosmic46,healer
cosmic47,warrior
cosmic5,archer
cosmic6,mage
cosmic605,healer
cosmic669,mage
cosmic68,healer
cosmic693,assassin
cosmic7,assassin
cosmic703,healer
cosmic76,tank
cosmic8,assassin
cosmic82,mage
cosmic9,mage
cosmic90,healer
cosmic_arrow8,assassin
cosmic_brave,archer
cosmic_cosmic,tank
cosmic_dragon5,mage
cosmic_electri,assassin
cosmic_falcon3,assassin
cosmic_furious,warrior
cosmic_ghost1,archer
cosmic_ghost84,assassin
cosmic_golden,archer
cosmic_lucky,archer
cosmic_rapid,assassin
cosmic_raven4,tank
cosmic_samurai,assassin
cosmic_shadow,healer
cosmic_shadow9,assassin
cosmic_silent,assassin
cosmic_spirit,healer
cosmic_tiger,healer
cosmic_tiger8,archer
cosmicancient,warrior
cosmicancient7,mage
cosmicancient9,healer
cosmicarcane,archer
cosmicarcane0,warrior
cosmicarcane6,tank
cosmicarcane8,assassin
cosmicarcane9,warrior
cosmicarrow1,assassin
cosmicarrow4,archer
cosmicblade,tank
cosmicblade66 ##,tank
cosmicbrave1,mage
cosmicbrave114,warrior
cosmiccosmic,tank
cosmiccosmic4,tank
cosmiccrimson,warrior
cosmicdark,assassin
cosmicdark7,healer
cosmicdragon,warrior
cosmicdragon2,mage
cosmicdragon37,tank
cosmicdragon87,archer
cosmicelectric,tank
cosmicfalcon,tank
cosmicfalcon1,archer
cosmicfrozen,tank
cosmicfrozen0,warrior
cosmicfrozen62,warrior
cosmicfurious,healer
cosmicghost,archer
cosmicgolden,archer
cosmicgolden7,archer
cosmicgolem,archer
cosmicgolem0,warrior
cosmicgolem9,archer
cosmichunter6,healer
cosmiciron,archer
cosmiciron2,archer
cosmiciron3,mage
cosmiciron76,healer
cosmicknight,tank
cosmicknight8,warrior
cosmiclucky,healer
cosmicmystic,assassin
cosmicmystic1,tank
cosmicneon8,assassin
cosmicneon9,tank
cosmicninja,healer
cosmicninja2,mage
cosmicphoenix,healer
cosmicrapid,healer
cosmicrapid88,archer
cosmicraven,warrior
cosmicraven8,assassin
cosmicsamurai,mage
cosmicsamurai7,healer
cosmicshadow,mage
cosmicshadow7,healer
cosmicshadow83,warrior
cosmicsilent,assassin
cosmicsilent37,archer
cosmicsilver,tank
cosmicsilver  ##,warrior
cosmicsilver4,mage
cosmicspirit,warrior
cosmicspirit22,tank
cosmicspirit8,assassin
cosmicstealth,warrior
cosmicstealth8,archer
cosmicstorm,healer
cosmictiger4,assassin
cosmicviper,warrior
cosmicviper1,mage
cosmicviper2,archer
cosmicviper8,healer
cosmicwarden,healer
cosmicwarden7,tank
cosmicwild,mage
cosmicwild0,archer
cosmicwild280,assassin
cosmicwild4,healer
cosmicwild7,archer
cosmicwizard0,tank
cosmicwizard1,archer
cosmicwizard8,healer
crimson,tank
"crimson
 ##",archer
crimson!!,healer
crimson-ancien,tank
crimson-blade2,mage
crimson-brave9,archer
crimson-cosmic,assassin
crimson-dragon,healer
crimson-ghost7,mage
crimson-golden,healer
crimson-golem5,mage
crimson-iron1,assassin
crimson-knight,healer
crimson-shadow,mage
crimson-stealt,mage
crimson-warden,archer
crimson-wild34,assassin
crimson.arcane,archer
crimson.arcane ##,tank
crimson.dragon,archer
crimson.electr,tank
crimson.golden,warrior
crimson.golem3,healer
crimson.hunter,healer
crimson.iron,healer
crimson.neon,tank
crimson.ninja,mage
crimson.raven6,mage
crimson.samura,warrior
crimson.wild1,tank
crimson.wolf,warrior
crimson0,tank
crimson1,tank
crimson12,healer
crimson14,tank
crimson15,warrior
crimson16,assassin
crimson17,healer
crimson2,assassin
crimson24,mage
crimson26,archer
crimson3,healer
crimson317,mage
crimson32,healer
crimson34,assassin
crimson359,assassin
crimson4,mage
crimson40,healer
crimson42,mage
crimson444,warrior
crimson463,tank
crimson49,mage
crimson5,assassin
crimson5 ##,archer
crimson6,archer
crimson607,mage
crimson67,assassin
crimson7,assassin
crimson701,healer
crimson71,warrior
crimson735,archer
crimson75,archer
crimson755,tank
crimson79,mage
crimson8,mage
crimson804,assassin
crimson86,assassin
crimson9,tank
crimson93,mage
crimson94,assassin
crimson940,warrior
crimson_brave,warrior
crimson_cosmic,healer
crimson_dragon,assassin
crimson_falcon,archer
crimson_golden,archer
crimson_golem,mage
crimson_hunter,healer
crimson_iron24,archer
crimson_lucky,healer
crimson_mystic,warrior
crimson_neon,warrior
crimson_shadow,healer
crimson_storm1,tank
crimson_warden,warrior
crimson_wizard,archer
crimson_wolf75,archer
crimsonancient,mage
crimsonarcane,mage
crimsonarcane!!,warrior
crimsonarcane6,tank
crimsonarrow9,healer
crimsonblade,assassin
crimsonblade3,archer
crimsonblade7,tank
crimsonbrave,warrior
crimsonbrave4,warrior
crimsonbrave8,assassin
crimsoncosmic,assassin
crimsoncrimson,assassin
crimsondark75,mage
crimsondragon,tank
crimsondragon0,tank
crimsonelectri,warrior
crimsonfalcon3,tank
crimsonfalcon5,healer
crimsonfrozen,mage
crimsonfrozen1,tank
crimsonfrozen3,tank
crimsonfurious,warrior
crimsonghost,assassin
crimsonghost23,tank
crimsongolden,assassin
crimsongolden5,warrior
crimsongolden6,mage
crimsongolden7,tank
crimsongolem,tank
crimsonhunter,healer
crimsonhunter7,healer
crimsoniron,tank
crimsoniron7,assassin
crimsonlucky,archer
crimsonlucky0,assassin
crimsonlucky9,archer
crimsonmystic,healer
crimsonmystic0,mage
crimsonmystic8,assassin
crimsonneon,tank
crimsonneon20,healer
crimsonneon94,tank
crimsonneonäöü,mage
crimsonninja,assassin
crimsonphoenix,assassin
crimsonrapid4,archer
crimsonraven,mage
crimsonraven79,tank
crimsonreaper,warrior
crimsonreaper6,archer
crimsonsamurai,healer
crimsonshadow,warrior
crimsonshadow6 äöü,assassin
crimsonsilent5,healer
crimsonsilent8,assassin
crimsonsilver,archer
crimsonspirit6,assassin
crimsonspirit7,warrior
crimsonspirit8,assassin
crimsonstealth,archer
crimsonstorm7,tank
crimsonstorm8,assassin
crimsontiger,archer
crimsontiger3	äöü,warrior
crimsontiger44,assassin
crimsontiger6,mage
crimsontiger7,healer
crimsontiger8,warrior
crimsonviper,tank
crimsonwarden,archer
crimsonwarden6,assassin
crimsonwild,mage
crimsonwild4,warrior
crimsonwizard,assassin
crimsonwizard1,assassin
crimsonwizard5,mage
crimsonwizard6,warrior
crimsonwolf,mage
dark,tank
dark-ancient1,warrior
dark-arrow4äöü,mage
dark-brave,assassin
dark-cosmic,healer
dark-falcon,warrior
dark-furious,archer
dark-iron7,assassin
dark-knight,healer
dark-knight78,healer
dark-lucky,archer
dark-mystic,tank
dark-ninja27,assassin
dark-phoenix55,healer
dark-rapid,archer
dark-wild40,assassin
dark.arrow521,tank
dark.ghost,healer
dark.golden44 ##,healer
dark.hunter,assassin
dark.hunter0,warrior
dark.hunter861,archer
dark.iron9,healer
dark.lucky3,healer
dark.neon,archer
dark.rapid779,tank
dark.raven,tank
dark.wild7,tank
dark.wizard1,warrior
dark0,healer
dark1,mage
dark12,archer
dark16,tank
dark163,mage
dark1äöü,warrior
dark2,healer
dark22,tank
dark258,warrior
dark3,warrior
dark33,mage
dark35,assassin
dark4,archer
dark428,mage
dark44,tank
dark48,mage
dark5,tank
dark52,healer
dark576,tank
dark6,mage
dark62,tank
dark672,assassin
dark69,mage
dark7,tank
dark76,assassin
dark8,archer
dark80,archer
dark801,mage
dark81,archer
dark865,mage
dark9,assassin
dark9!!,warrior
dark93,tank
dark99,assassin
dark_ancient,mage
dark_ancient66,archer
dark_arcane,archer
dark_arrow7,tank
dark_brave,warrior
dark_frozen,healer
dark_furious,warrior
dark_golden,healer
dark_golem,mage
dark_hunter73,mage
dark_knight220,mage
dark_ninja,mage
dark_reaper0,mage
dark_silent78,healer
dark_storm,tank
dark_wild,archer
darkancient,warrior
darkancient1,mage
darkancient3,healer
darkarcane,warrior
darkarcane385,tank
darkarcane96,healer
darkarrow,archer
darkarrow0,healer
darkarrow5,mage
darkblade8,archer
darkbrave,archer
darkbrave0,warrior
darkbrave1,archer
darkbrave3,tank
darkbrave89,assassin
darkcosmic,mage
darkcrimson,tank
darkcrimson7,assassin
darkcrimson9,mage
darkcrimson939,tank
darkdark,tank
darkdark185 !!,tank
darkdark4,tank
darkdragon,archer
darkdragon0,tank
darkelectric,warrior
darkelectric ##,warrior
darkelectric!!,archer
darkelectric0,archer
darkfalcon,healer
darkfrozen,mage
darkfrozen2,tank
darkfrozen5,archer
darkfrozen8,tank
darkfurious1,assassin
darkfurious2,warrior
darkfurious69,tank
darkfurious9,mage
darkghost35,tank
darkgolden,mage
darkgolden2,archer
darkgolden4,warrior
darkgolem791,mage
darkhunter7äöü,tank
darkiron0,healer
darkiron3,tank
darkiron50,tank
darkiron9,tank
darkknight5,warrior
darkknight9,mage
darklucky,archer
darklucky0,mage
darklucky86,warrior
darkmystic,archer
darkmystic5,healer
darkneon6,archer
darkneon7,archer
darkninja,archer
darkninja5,tank
darkphoenix,assassin
darkrapid4äöü,healer
darkraven,mage
darkreaper,assassin
darkshadow7,archer
darksilent,assassin
darksilent799,mage
darksilver,healer
darkspirit,mage
darkspirit1,assassin
darkspirit177,tank
darkspirit46,assassin
darkstealth,archer
darkstealth8,assassin
darkstorm,tank
darkstorm5,healer
darkstorm77,warrior
darkstorm9,healer
darkviper6,assassin
darkwarden1,tank
darkwarden2,assassin
darkwarden564,tank
darkwild,assassin
darkwild0,healer
darkwild297,healer
darkwild4,archer
darkwild6,mage
darkwizard2äöü,mage
darkwizard5,assassin
darkwolf,mage
darkwolf9,assassin
darkäöü,archer
dragon,warrior
dragon!!,healer
dragon-ancient,archer
dragon-dragon8,mage
dragon-rapid,healer
dragon-reaper,mage
dragon-silver	 ##,warrior
dragon-silver8,warrior
dragon-wild9,mage
dragon.brave3,mage
dragon.cosmic7,mage
dragon.iron5,mage
dragon.knight,mage
dragon.neon,archer
dragon.neon9,tank
dragon.samurai,warrior
dragon.storm63,healer
dragon.tiger3,warrior
dragon.viper1,warrior
dragon.viper79,assassin
dragon.wild3,archer
dragon0,warrior
dragon1,healer
dragon12,assassin
dragon2,healer
dragon26,assassin
dragon28,archer
dragon3,healer
dragon324,warrior
dragon361,warrior
dragon4,mage
dragon430,warrior
dragon44,mage
dragon48,healer
dragon5,warrior
dragon50,healer
dragon52,healer
dragon55,mage
dragon6,archer
dragon66,mage
dragon7,tank
dragon8,assassin
dragon9,mage
dragon_arcane8,healer
dragon_blade,healer
dragon_knight6,mage
dragon_mystic9,healer
dragon_neon,healer
dragon_rapid,tank
dragon_samurai,assassin
dragon_viper,healer
dragon_wolf9,assassin
dragonancient,tank
dragonancient9,tank
dragonarcane,healer
dragonarrow6,tank
dragonblade,mage
dragonbrave894,tank
dragoncrimson,healer
dragoncrimson4,archer
dragoncrimson5,archer
dragoncrimson8,assassin
dragondark,tank
dragondark495,warrior
dragondark56,archer
dragondark88,archer
dragondragon,warrior
dragonelectric,archer
dragonfalcon,tank
dragonfrozen,archer
dragonfrozen1,archer
dragonfrozen27,tank
dragonfrozen4,healer
dragonfurious,archer
dragonfurious4,tank
dragonfurious7,warrior
dragonghost,warrior
dragonghost3,tank
dragongolden,tank
dragongolem,archer
dragoniron,archer
dragonlucky4,tank
dragonmystic,tank
dragonmystic0,mage
dragonneon,warrior
dragonneon2,mage
dragonneon5,tank
dragonphoenix5,healer
dragonphoenix8,assassin
dragonrapid976,assassin
dragonraven3,mage
dragonraven4,warrior
dragonraven5,archer
dragonraven8,mage
dragonreaper,warrior
dragonsamurai,mage
dragonshadow,warrior
dragonsilent5,healer
dragonsilver2,assassin
dragonsilver8,healer
dragonstealth,healer
dragonstealth4,assassin
dragonstealth4äöü,tank
dragonstorm ##,warrior
dragontiger,archer
dragontiger3,mage
dragonviper,assassin
dragonviper7,healer
dragonwarden,warrior
dragonwild,tank
dragonwild8,assassin
dragonwizard,healer
dragonwizard8,assassin
electric,tank
electric ##,healer
electric!!,tank
electric-brave,healer
electric-crims,healer
electric-dark,warrior
electric-dark5,archer
electric-falco,healer
electric-golde,assassin
electric-lucky,healer
electric-rapid,mage
electric-samur,assassin
electric-spiri,assassin
electric-warde,tank
